date,symbol,open,close,low,high,volume
2021-04-12,KOSPI,3134.879883,3135.590088,3127.909912,3147.270020,1048800
2021-04-13,KOSPI,3138.209961,3169.080078,3136.989990,3173.260010,1741300
2021-04-14,KOSPI,3169.949951,3182.379883,3162.120117,3188.320068,1776300
2021-04-15,KOSPI,3180.729980,3194.330078,3178.989990,3204.479980,1313000
2021-04-16,KOSPI,3194.080078,3198.620117,3185.669922,3206.760010,985300
2021-04-19,KOSPI,3201.110107,3198.840088,3193.399902,3214.449951,1060600
2021-04-20,KOSPI,3198.310059,3220.699951,3195.959961,3220.820068,1296200
2021-04-21,KOSPI,3214.239990,3171.659912,3165.489990,3214.239990,1767100
2021-04-22,KOSPI,3174.520020,3177.520020,3174.520020,3196.969971,1752700
2021-04-23,KOSPI,3173.469971,3181.080078,3146.540039,3185.969971,1829400
2021-04-26,KOSPI,3191.340088,3217.530029,3191.340088,3217.530029,1298300
2021-04-27,KOSPI,3218.300049,3215.419922,3203.250000,3223.050049,1534200
2021-04-28,KOSPI,3217.209961,3181.469971,3176.550049,3219.689941,1412600
2021-04-29,KOSPI,3184.750000,3174.070068,3161.060059,3200.409912,1222400
2021-04-30,KOSPI,3176.429932,3147.860107,3143.379883,3179.429932,1358200
2021-05-03,KOSPI,3149.050049,3127.199951,3120.699951,3174.260010,1040300
2021-05-04,KOSPI,3131.389893,3147.370117,3109.780029,3147.379883,1282900
2021-05-06,KOSPI,3147.719971,3160.429932,3133.639893,3174.159912,1238600
2021-05-07,KOSPI,3179.629883,3197.199951,3179.629883,3205.110107,988900
2021-05-10,KOSPI,3201.459961,3249.300049,3201.459961,3255.899902,1010200
2021-05-11,KOSPI,3239.919922,3209.429932,3192.250000,3239.919922,1095700
2021-05-12,KOSPI,3209.360107,3161.659912,3138.040039,3212.830078,1423200
2021-05-13,KOSPI,3146.969971,3122.110107,3103.879883,3161.929932,1094900
2021-05-14,KOSPI,3131.350098,3153.320068,3131.350098,3162.310059,835600
2021-05-17,KOSPI,3163.209961,3134.520020,3121.320068,3173.010010,770700
2021-05-18,KOSPI,3135.379883,3173.050049,3135.379883,3176.399902,785400
2021-05-20,KOSPI,3174.530029,3162.280029,3140.479980,3174.530029,773600
2021-05-21,KOSPI,3171.909912,3156.419922,3149.459961,3198.010010,796800
2021-05-24,KOSPI,3155.909912,3144.300049,3137.810059,3163.270020,587500
2021-05-25,KOSPI,3152.929932,3171.320068,3148.300049,3173.100098,612700
2021-05-26,KOSPI,3171.909912,3168.429932,3160.300049,3183.969971,1269000
2021-05-27,KOSPI,3170.840088,3165.510010,3142.370117,3173.860107,1081100
2021-05-28,KOSPI,3172.090088,3188.729980,3171.850098,3198.659912,966000
2021-05-31,KOSPI,3192.060059,3203.919922,3179.870117,3204.290039,1123100
2021-06-01,KOSPI,3207.120117,3221.870117,3199.179932,3233.169922,1471800
2021-06-02,KOSPI,3224.399902,3224.229980,3216.100098,3241.070068,1495200
2021-06-03,KOSPI,3224.959961,3247.429932,3224.959961,3258.500000,1584000
2021-06-04,KOSPI,3246.169922,3240.080078,3218.669922,3246.189941,1391800
2021-06-07,KOSPI,3244.590088,3252.120117,3233.399902,3264.409912,1731900
2021-06-08,KOSPI,3251.830078,3247.830078,3242.560059,3264.669922,1950600
2021-06-09,KOSPI,3245.080078,3216.179932,3216.179932,3246.489990,1964500
2021-06-10,KOSPI,3216.939941,3224.639893,3210.310059,3235.389893,1896200
2021-06-11,KOSPI,3226.979980,3249.320068,3226.979980,3251.580078,1643800
2021-06-14,KOSPI,3249.600098,3252.129883,3238.510010,3254.489990,1663900
2021-06-15,KOSPI,3253.169922,3258.629883,3247.899902,3262.800049,1733900
2021-06-16,KOSPI,3259.060059,3278.679932,3256.679932,3281.959961,2345200
2021-06-17,KOSPI,3276.199951,3264.959961,3251.320068,3276.199951,1848200
2021-06-18,KOSPI,3265.679932,3267.929932,3262.580078,3275.760010,1626400
2021-06-21,KOSPI,3264.179932,3240.790039,3225.560059,3264.179932,1508100
2021-06-22,KOSPI,3245.790039,3263.879883,3245.790039,3267.629883,1666300
2021-06-23,KOSPI,3265.729980,3276.189941,3263.070068,3281.879883,1068300
2021-06-24,KOSPI,3281.469971,3286.100098,3277.850098,3292.270020,1300300
2021-06-25,KOSPI,3289.179932,3302.840088,3289.179932,3316.080078,1197600
2021-06-28,KOSPI,3305.459961,3301.889893,3291.300049,3311.689941,1427400
2021-06-29,KOSPI,3305.260010,3286.679932,3276.629883,3305.419922,1211800
2021-06-30,KOSPI,3288.629883,3296.679932,3288.629883,3305.729980,1608900
2021-07-01,KOSPI,3297.919922,3282.060059,3278.100098,3300.120117,1157700
